Row Labels,Sum of deaths_max,Sum of children
08/17/11,,
08/18/11,,
08/19/11,4,0
08/20/11,,
08/21/11,,
08/22/11,13,2
08/23/11,,
08/24/11,6,0
08/25/11,,
08/26/11,6,0
08/27/11,,
08/28/11,,
08/29/11,,
08/30/11,,
08/31/11,,
09/01/11,,
09/02/11,,
09/03/11,,
09/04/11,7,0
09/05/11,,
09/06/11,,
09/07/11,10,0
09/08/11,,
09/09/11,,
09/10/11,,
09/11/11,5,0
09/12/11,,
09/13/11,,
09/14/11,,
09/15/11,,
09/16/11,,
09/17/11,,
09/18/11,,
09/19/11,,
09/20/11,,
09/21/11,11,0
09/22/11,,
09/23/11,8,0
09/24/11,,
09/25/11,0,0
09/26/11,19,0
09/27/11,4,0
09/28/11,,
09/29/11,,
09/30/11,8,0
10/01/11,,
10/02/11,,
10/03/11,,
10/04/11,,
10/05/11,,
10/06/11,4,0
10/07/11,,
10/08/11,,
10/09/11,,
10/10/11,,
10/11/11,,
10/12/11,,
10/13/11,12,0
10/14/11,34,3
10/15/11,13,0
10/16/11,,
10/17/11,,
10/18/11,,
10/19/11,,
10/20/11,,
10/23/11,11,0
10/26/11,22,0
10/27/11,12,0
10/30/11,6,0
10/31/11,4,0
11/03/11,3,0
11/08/11,0,0
11/14/11,2,0
11/15/11,7,0
11/16/11,22,0
11/17/11,9,0
12/22/11,1,0
01/10/12,4,0
01/12/12,9,0
01/21/12,1,0
01/23/12,5,0
01/31/12,14,0
02/08/12,18,7
02/09/12,8,0
02/16/12,21,0
02/24/12,7,0
03/09/12,55,0
03/10/12,24,0
03/11/12,6,0
03/13/12,20,0
03/22/12,30,0
03/30/12,9,0
04/01/12,38,0
04/07/12,8,0
04/08/12,24,0
04/11/12,14,0
04/14/12,7,0
04/16/12,7,0
04/21/12,17,0
04/22/12,4,0
04/23/12,3,0
04/26/12,3,0
04/29/12,9,0
04/30/12,7,0
05/02/12,15,0
05/05/12,10,0
05/06/12,4,0
05/10/12,16,0
05/12/12,27,0
05/15/12,42,0
05/17/12,3,0
05/19/12,2,0
05/23/12,5,0
05/24/12,12,0
05/26/12,4,0
05/27/12,8,6
05/28/12,25,0
06/01/12,12,0
06/02/12,4,0
06/03/12,10,0
06/04/12,18,0
06/13/12,31,0
06/14/12,4,0
06/15/12,7,6
06/20/12,1,0
06/25/12,3,0
06/26/12,6,0
07/01/12,8,0
07/03/12,5,0
07/04/12,13,0
07/06/12,24,0
07/23/12,14,0
07/29/12,7,0
08/04/12,5,0
08/06/12,7,0
08/07/12,3,0
08/18/12,12,0
08/19/12,10,0
08/21/12,25,1
08/24/12,18,0
08/28/12,3,0
08/29/12,7,0
08/31/12,8,0
09/01/12,13,0
09/02/12,12,3
09/05/12,6,0
09/08/12,4,0
09/10/12,15,0
09/20/12,4,0
09/21/12,4,0
09/24/12,8,0
10/01/12,4,0
10/04/12,6,0
10/10/12,6,0
10/11/12,26,0
10/18/12,9,0
10/21/12,4,0
10/24/12,5,0
10/28/12,4,0
11/07/12,3,0
11/29/12,4,0
12/01/12,4,0
12/06/12,11,0
12/09/12,4,0
12/21/12,6,0
12/24/12,8,0
12/28/12,7,0
12/29/12,4,0
01/01/13,1,0
01/02/13,11,0
01/03/13,6,0
01/04/13,3,0
01/06/13,18,0
01/08/13,13,1
01/10/13,6,0
01/19/13,10,0
01/20/13,3,0
01/21/13,4,0
01/22/13,5,0
01/23/13,11,2
02/06/13,5,0
02/08/13,9,0
03/10/13,3,0
03/21/13,4,0
03/30/13,2,0
04/14/13,5,0
04/17/13,11,0
04/21/13,2,0
05/18/13,7,0
05/20/13,2,0
05/29/13,7,0
06/01/13,8,0
06/07/13,7,0
06/09/13,6,1
07/03/13,18,0
07/13/13,3,0
07/27/13,9,0
07/28/13,8,0
07/30/13,4,0
08/01/13,5,1
08/06/13,4,0
08/07/13,8,0
08/08/13,16,0
08/10/13,5,0
08/12/13,2,0
08/30/13,6,0
08/31/13,4,0
09/06/13,7,0
09/22/13,7,0
09/29/13,6,0
09/30/13,4,0
10/28/13,2,0
10/31/13,5,0
11/01/13,25,0
11/19/13,4,0
11/21/13,9,0
11/29/13,3,0
12/09/13,4,0
12/12/13,17,0
12/14/13,9,0
12/25/13,4,0
12/27/13,6,0
01/06/14,2,0
01/08/14,2,0
01/15/14,1,0
01/23/14,5,0
01/26/14,9,0
03/03/14,8,0
03/05/14,4,0
03/10/14,4,1
03/12/14,3,0
04/01/14,3,0
04/19/14,21,0
04/20/14,35,2
05/12/14,6,0
06/04/14,4,0
06/11/14,6,0
06/12/14,10,0
06/14/14,6,0
06/18/14,8,0
08/09/14,,
08/10/14,,
08/11/14,,
08/12/14,,
08/13/14,,
08/14/14,,
08/15/14,,
08/16/14,,
08/17/14,,
08/18/14,,
08/19/14,,
08/20/14,,
08/21/14,,
08/22/14,,
08/23/14,,
08/24/14,,
08/26/14,,
08/27/14,,
08/28/14,,
08/29/14,,
08/30/14,,
08/31/14,,
09/02/14,,
09/04/14,,
09/05/14,,
09/06/14,,
09/07/14,,
09/08/14,,
09/09/14,,
09/10/14,,
(blank),,
Grand Total,5326,334
