Row Labels,Sum of deaths_max,Sum of children
2011-06-01 00:00:00+00,0,0
2011-06-02 00:00:00+00,0,0
2011-06-03 00:00:00+00,19,0
2011-06-04 00:00:00+00,0,0
2011-06-05 00:00:00+00,0,0
2011-06-06 00:00:00+00,24,0
2011-06-07 00:00:00+00,0,0
2011-06-08 00:00:00+00,27,0
2011-06-09 00:00:00+00,0,0
2011-06-10 00:00:00+00,4,1
2011-06-11 00:00:00+00,0,0
2011-06-12 00:00:00+00,0,0
2011-06-13 00:00:00+00,0,0
2011-06-14 00:00:00+00,0,0
2011-06-15 00:00:00+00,16,0
2011-06-16 00:00:00+00,0,0
2011-06-17 00:00:00+00,0,0
2011-06-18 00:00:00+00,0,0
2011-06-19 00:00:00+00,0,0
2011-06-20 00:00:00+00,12,0
2011-06-21 00:00:00+00,0,0
2011-06-22 00:00:00+00,0,0
2011-06-23 00:00:00+00,2,0
2011-06-24 00:00:00+00,0,0
2011-06-25 00:00:00+00,0,0
2011-06-26 00:00:00+00,0,0
2011-06-27 00:00:00+00,33,0
2011-06-28 00:00:00+00,0,0
2011-06-29 00:00:00+00,0,0
2011-06-30 00:00:00+00,0,0
2011-07-01 00:00:00+00,0,0
2011-07-02 00:00:00+00,0,0
2011-07-03 00:00:00+00,0,0
2011-07-04 00:00:00+00,0,0
2011-07-05 00:00:00+00,19,0
2011-07-06 00:00:00+00,2,0
2011-07-07 00:00:00+00,0,0
2011-07-08 00:00:00+00,0,0
2011-07-09 00:00:00+00,0,0
2011-07-10 00:00:00+00,0,0
2011-07-11 00:00:00+00,28,0
2011-07-12 00:00:00+00,66,0
2011-07-13 00:00:00+00,0,0
2011-07-14 00:00:00+00,50,0
2011-07-15 00:00:00+00,0,0
2011-07-16 00:00:00+00,0,0
2011-07-17 00:00:00+00,3,0
2011-07-18 00:00:00+00,2,0
2011-07-19 00:00:00+00,0,0
2011-07-20 00:00:00+00,4,0
2011-07-21 00:00:00+00,0,0
2011-07-22 00:00:00+00,0,0
2011-07-23 00:00:00+00,0,0
2011-07-24 00:00:00+00,0,0
2011-07-25 00:00:00+00,0,0
2011-07-26 00:00:00+00,0,0
2011-07-27 00:00:00+00,5,0
2011-07-28 00:00:00+00,0,0
2011-07-29 00:00:00+00,0,0
2011-07-30 00:00:00+00,0,0
2011-07-31 00:00:00+00,0,0
2011-08-01 00:00:00+00,22,0
2011-08-02 00:00:00+00,4,0
2011-08-03 00:00:00+00,0,0
2011-08-04 00:00:00+00,0,0
2011-08-05 00:00:00+00,0,0
2011-08-06 00:00:00+00,8,6
2011-08-07 00:00:00+00,0,0
2011-08-08 00:00:00+00,0,0
2011-08-09 00:00:00+00,0,0
2011-08-10 00:00:00+00,25,0
2011-08-11 00:00:00+00,0,0
2011-08-12 00:00:00+00,0,0
2011-08-13 00:00:00+00,0,0
2011-08-14 00:00:00+00,0,0
2011-08-15 00:00:00+00,0,0
2011-08-16 00:00:00+00,7,1
2011-08-17 00:00:00+00,0,0
2011-08-18 00:00:00+00,0,0
2011-08-19 00:00:00+00,4,0
2011-08-20 00:00:00+00,0,0
2011-08-21 00:00:00+00,0,0
2011-08-22 00:00:00+00,13,2
2011-08-23 00:00:00+00,0,0
2011-08-24 00:00:00+00,6,0
2011-08-25 00:00:00+00,0,0
2011-08-26 00:00:00+00,6,0
2011-08-27 00:00:00+00,0,0
2011-08-28 00:00:00+00,0,0
2011-08-29 00:00:00+00,0,0
2011-08-30 00:00:00+00,0,0
2011-08-31 00:00:00+00,0,0
2011-09-01 00:00:00+00,0,0
2011-09-02 00:00:00+00,0,0
2011-09-03 00:00:00+00,0,0
2011-09-04 00:00:00+00,7,0
2011-09-05 00:00:00+00,0,0
2011-09-06 00:00:00+00,0,0
2011-09-07 00:00:00+00,10,0
2011-09-08 00:00:00+00,0,0
2011-09-09 00:00:00+00,0,0
2011-09-10 00:00:00+00,0,0
2011-09-11 00:00:00+00,5,0
2011-09-12 00:00:00+00,0,0
2011-09-13 00:00:00+00,0,0
2011-09-14 00:00:00+00,0,0
2011-09-15 00:00:00+00,0,0
2011-09-16 00:00:00+00,0,0
2011-09-17 00:00:00+00,0,0
2011-09-18 00:00:00+00,0,0
2011-09-19 00:00:00+00,0,0
2011-09-20 00:00:00+00,0,0
2011-09-21 00:00:00+00,11,0
2011-09-22 00:00:00+00,0,0
2011-09-23 00:00:00+00,8,0
2011-09-24 00:00:00+00,0,0
2011-09-25 00:00:00+00,0,0
2011-09-26 00:00:00+00,19,0
2011-09-27 00:00:00+00,4,0
2011-09-28 00:00:00+00,0,0
2011-09-29 00:00:00+00,0,0
2011-09-30 00:00:00+00,8,0
2011-10-01 00:00:00+00,0,0
2011-10-02 00:00:00+00,0,0
2011-10-04 00:00:00+00,0,0
2011-10-05 00:00:00+00,0,0
2011-10-06 00:00:00+00,4,0
2011-10-07 00:00:00+00,0,0
2011-10-09 00:00:00+00,0,0
2011-10-10 00:00:00+00,0,0
2011-10-11 00:00:00+00,0,0
2011-10-12 00:00:00+00,0,0
2011-10-13 00:00:00+00,12,0
2011-10-14 00:00:00+00,34,3
2011-10-15 00:00:00+00,13,0
2011-10-17 00:00:00+00,0,0
2011-10-20 00:00:00+00,0,0
2011-10-23 00:00:00+00,11,0
2011-10-26 00:00:00+00,22,0
2011-10-27 00:00:00+00,12,0
2011-10-30 00:00:00+00,6,0
2011-10-31 00:00:00+00,4,0
2011-11-03 00:00:00+00,3,0
2011-11-08 00:00:00+00,0,0
2011-11-14 00:00:00+00,2,0
2011-11-15 00:00:00+00,7,0
2011-11-16 00:00:00+00,22,0
2011-11-17 00:00:00+00,9,0
2011-12-22 00:00:00+00,1,0
2012-01-10 00:00:00+00,4,0
2012-01-12 00:00:00+00,9,0
2012-01-21 00:00:00+00,1,0
2012-01-23 00:00:00+00,5,0
2012-01-31 00:00:00+00,14,0
2012-02-08 00:00:00+00,18,7
2012-02-09 00:00:00+00,8,0
2012-02-16 00:00:00+00,21,0
2012-02-24 00:00:00+00,7,0
2012-03-09 00:00:00+00,55,0
2012-03-10 00:00:00+00,24,0
2012-03-11 00:00:00+00,6,0
2012-03-13 00:00:00+00,20,0
2012-03-22 00:00:00+00,30,0
2012-03-30 00:00:00+00,9,0
2012-04-01 00:00:00+00,38,0
2012-04-07 00:00:00+00,8,0
2012-04-08 00:00:00+00,24,0
2012-04-11 00:00:00+00,14,0
2012-04-14 00:00:00+00,7,0
2012-04-16 00:00:00+00,7,0
2012-04-21 00:00:00+00,17,0
2012-04-22 00:00:00+00,4,0
2012-04-23 00:00:00+00,3,0
2012-04-26 00:00:00+00,3,0
2012-04-29 00:00:00+00,9,0
2012-04-30 00:00:00+00,7,0
2012-05-02 00:00:00+00,15,0
2012-05-05 00:00:00+00,10,0
2012-05-06 00:00:00+00,4,0
2012-05-10 00:00:00+00,16,0
2012-05-12 00:00:00+00,27,0
2012-05-15 00:00:00+00,42,0
2012-05-17 00:00:00+00,3,0
2012-05-19 00:00:00+00,2,0
2012-05-23 00:00:00+00,5,0
2012-05-24 00:00:00+00,12,0
2012-05-26 00:00:00+00,4,0
2012-05-27 00:00:00+00,8,6
2012-05-28 00:00:00+00,25,0
2012-06-01 00:00:00+00,12,0
2012-06-02 00:00:00+00,4,0
2012-06-03 00:00:00+00,10,0
2012-06-04 00:00:00+00,18,0
2012-06-13 00:00:00+00,31,0
2012-06-14 00:00:00+00,4,0
2012-06-15 00:00:00+00,7,6
2012-06-20 00:00:00+00,1,0
2012-06-25 00:00:00+00,3,0
2012-06-26 00:00:00+00,6,0
2012-07-01 00:00:00+00,8,0
2012-07-03 00:00:00+00,5,0
2012-07-04 00:00:00+00,13,0
2012-07-06 00:00:00+00,24,0
2012-07-23 00:00:00+00,14,0
2012-07-29 00:00:00+00,7,0
2012-08-04 00:00:00+00,5,0
2012-08-06 00:00:00+00,7,0
2012-08-07 00:00:00+00,3,0
2012-08-18 00:00:00+00,12,0
2012-08-19 00:00:00+00,10,0
2012-08-21 00:00:00+00,25,1
2012-08-24 00:00:00+00,18,0
2012-08-28 00:00:00+00,3,0
2012-08-29 00:00:00+00,7,0
2012-08-31 00:00:00+00,8,0
2012-09-01 00:00:00+00,13,0
2012-09-02 00:00:00+00,12,3
2012-09-05 00:00:00+00,6,0
2012-09-08 00:00:00+00,4,0
2012-09-10 00:00:00+00,15,0
2012-09-20 00:00:00+00,4,0
2012-09-21 00:00:00+00,4,0
2012-09-24 00:00:00+00,8,0
2012-10-01 00:00:00+00,4,0
2012-10-04 00:00:00+00,6,0
2012-10-10 00:00:00+00,6,0
2012-10-11 00:00:00+00,26,0
2012-10-18 00:00:00+00,9,0
2012-10-21 00:00:00+00,4,0
2012-10-24 00:00:00+00,5,0
2012-10-28 00:00:00+00,4,0
2012-11-07 00:00:00+00,3,0
2012-11-29 00:00:00+00,4,0
2012-12-01 00:00:00+00,4,0
2012-12-06 00:00:00+00,11,0
2012-12-09 00:00:00+00,4,0
2012-12-21 00:00:00+00,6,0
2012-12-24 00:00:00+00,8,0
2012-12-28 00:00:00+00,7,0
2012-12-29 00:00:00+00,4,0
2013-01-01 00:00:00+00,1,0
2013-01-02 00:00:00+00,11,0
2013-01-03 00:00:00+00,6,0
2013-01-04 00:00:00+00,3,0
2013-01-06 00:00:00+00,18,0
2013-01-08 00:00:00+00,13,1
2013-01-10 00:00:00+00,6,0
2013-01-19 00:00:00+00,10,0
2013-01-20 00:00:00+00,3,0
2013-01-21 00:00:00+00,4,0
2013-01-22 00:00:00+00,5,0
2013-01-23 00:00:00+00,11,2
2013-02-06 00:00:00+00,5,0
2013-02-08 00:00:00+00,9,0
2013-03-10 00:00:00+00,3,0
2013-03-21 00:00:00+00,4,0
2013-03-30 00:00:00+00,2,0
2013-04-07 00:00:00+00,12,10
2013-04-14 00:00:00+00,5,0
2013-04-17 00:00:00+00,11,0
2013-04-21 00:00:00+00,2,0
2013-05-18 00:00:00+00,7,0
2013-05-20 00:00:00+00,2,0
2013-05-29 00:00:00+00,7,0
2013-06-01 00:00:00+00,8,0
2013-06-07 00:00:00+00,7,0
2013-06-09 00:00:00+00,6,1
2013-07-03 00:00:00+00,18,0
2013-07-13 00:00:00+00,3,0
2013-07-27 00:00:00+00,9,0
2013-07-28 00:00:00+00,8,0
2013-07-30 00:00:00+00,4,0
2013-08-01 00:00:00+00,5,1
2013-08-06 00:00:00+00,4,0
2013-08-07 00:00:00+00,8,0
