dataset,date,latitude,longitude,deaths_min,deaths_max,children,names,description,source
dronestream,2008-06-14T00:00:00.000Z,32.6278098905,69.8428344727,1,1,0,,"One killed in strike on Makeen, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-07-28T00:00:00.000Z,32.2865521531,69.432220459,6,12,0,,"A strike on a seminary killed al Qaedaâ€™s ""chemical weapons team"", one woman and up to three boys.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-08-12T00:00:00.000Z,32.3028041739,69.3251037598,13,25,0,,"At least 13 killed, including two named Taliban. Women and children reported among casualties. Bhagar, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-08-20T00:00:00.000Z,32.2975806279,69.6006202698,8,12,0,,8-12 people killed in attack on alleged militant house.,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-08-27T00:00:00.000Z,32.1723754,69.33147601,0,0,0,,Attack on al Qaeda-associated meeting killed none but injured four.,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-08-30T00:00:00.000Z,32.3219546002,69.5207977295,4,5,0,,"Five killed including two Arab-Canadians. Korzai, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-08-30T00:00:00.000Z,33.0020413985,70.0608444214,6,8,0,,"Woman and child killed along with four suspected militants, including two â€˜commandersâ€™. Ghundi, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-09-02T00:00:00.000Z,32.9867798934,70.2608299255,4,10,0,,Attack in unknown location kills 4-10 alleged al Qaeda militants.,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-09-04T00:00:00.000Z,32.9971464863,69.7264480591,5,7,0,,"Named al Qaeda militant killed along with 4-6 others. Momadkhel, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-09-05T00:00:00.000Z,33.0386006781,69.5393371582,5,12,0,,"Three women and four children killed in attack on two houses in Miranshah, North Waziristan. Five â€˜militantsâ€™ also reported killed by some sources.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-09-08T00:00:00.000Z,33.0020413985,70.0608444214,17,23,0,,"At least 11 civilians, mostly girls, killed with six others including four named militants.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
